Year,Title,Creator,TotalCheckouts
2015,"Virgil / [story, Steve Orlando ; art, J.D. Faith ; colors Chris Beckett ; letter & design, Thomas Mauer].","Orlando, Steve,",8
2015,"Why are faggots so afraid of faggots? : flaming challenges to masculinity, objectification, and the desire to conform / [edited by Mattilda Bernstein Sycamore].",NA,8
2015,An underground life : memoirs of a gay Jew in Nazi Berlin / Gad Beck ; written with Frank Heibert ; translated by Allison Brown.,"Beck, Gad, 1923-2012",7
2015,Don't tell me to wait : how the fight for gay rights changed America and transformed Obama's presidency / Kerry Eleveld.,"Eleveld, Kerry,",7
2015,Dreadful : the short life and gay times of John Horne Burns / David Margolick.,"Margolick, David",7
2015,Facing the music : my story / Jennifer Knapp.,"Knapp, Jennifer, 1974-",7
2015,"Fat gay men : girth, mirth, and the politics of stigma / Jason Whitesel.","Whitesel, Jason.",7
2015,Gay men and the new way forward / Raymond L. Rigoglioso ; foreword by Toby Johnson.,"Rigoglioso, Raymond L.",7
2015,Grief sucks... but love bears all things : how grief tore me apart and put me back together / Gayle Taylor Davis.,"Davis, Gayle Taylor.",7
2015,How poetry saved my life : a hustler's memoir / Amber Dawn.,"Dawn, Amber, 1974-",7
2015,I am what I am / John Barrowman with Carole E. Barrowman.,"Barrowman, John, 1968-",7
2015,If you knew then what I know now / Ryan Van Meter.,"Van Meter, Ryan, 1975-",7
2015,Man with a blue scarf : on sitting for a portrait by Lucian Freud / Martin Gayford.,"Gayford, Martin, 1952-",7
2015,Safe space : gay neighborhood history and the politics of violence / Christina B. Hanhardt.,"Hanhardt, Christina B.",7
2015,Sexual intimacy for women : a guide for same-sex couples / Glenda Corwin.,"Corwin, Glenda",7
2015,Straight walk : a supermodel's journey to finding her truth : a memoir / Patricia Velasquez.,"Velasquez, Patricia",7
2015,The gay essay / Anthony Friedkin ; Julian Cox with Nayland Blake and Eileen Myles.,"Friedkin, Anthony, 1949-",7
2015,The reappearing act : coming out as gay on a college basketball team led by born-again Christians / Kate Fagan.,"Fagan, Kate, 1973-",7
2015,100 crushes / Elisha Lim.,"Lim, Elisha",6
2015,An American queer : the Amazon trail / by Lee Lynch.,"Lynch, Lee, 1945-",6
2015,Brazen femme : queering femininity / edited by Chloë Brushwood Rose and Anna Camilleri.,NA,6
2015,"Cease : a memoir of love, loss and desire / Lynette Loeppky.","Loeppky, Lynette Dawn, 1966-",6
2015,Covering : the hidden assault on our civil rights / Kenji Yoshino.,"Yoshino, Kenji",6
2015,Gay voices of the Harlem Renaissance / A.B. Christa Schwarz.,"Schwarz, A. B. Christa, 1972-",6
2015,I can give you anything but love / Gary Indiana.,"Indiana, Gary",6
2015,"Love, Ellen : a mother/daughter journey / Betty DeGeneres.","DeGeneres, Betty, 1930-",6
2015,Modern families : stories of extraordinary journeys to kinship / Joshua Gamson ; foreword by Melissa Harris-Perry.,"Gamson, Joshua, 1962-",6
2015,My thinning years : starving the gay within / Jon Derek Croteau.,"Croteau, Jon Derek, 1975-",6
2015,Prairie silence : a memoir / Melanie M. Hoffert.,"Hoffert, Melanie M., 1974-",6
2015,"She ain't heavy, she's my mother : a memoir / Bryan Batt.","Batt, Bryan",6
2015,Sovereign erotics : a collection of two-spirit literature / edited by Qwo-Li Driskill ... [and others].,NA,6
2015,The best party of our lives : stories of gay weddings and true love to inspire us all / Sarah Galvin.,"Galvin, Sarah,",6
2015,The kid : what happened after my boyfriend and I decided to go get pregnant / Dan Savage.,"Savage, Dan",6
2015,The secret diaries of Miss Anne Lister (1791-1840) / edited by Helena Whitebread.,"Lister, Anne, 1791-1840",6
2015,When we were outlaws : a memoir of love and revolution / Jeanne Córdova.,"Córdova, Jeanne",6
2015,"White lady, black sons : a memoir of adoption, abuse and awakening / Lisa Richesson.","Richesson, Lisa",6
2015,A family by any other name : exploring queer relationships / edited by Bruce Gillespie.,NA,5
2015,A princess remembers : the memoirs of the Maharani of Jaipur / by Gayatri Devi of Jaipur and Santha Rama Rau.,"Gayatri Devi, Maharani of Jaipur, 1919-2009",5
2015,After love : queer intimacy and erotic economies in post-soviet Cuba / Noelle M. Stout.,"Stout, Noelle M., 1976-",5
2015,Anything goes : the autobiography / John Barrowman with Carole E. Barrowman.,"Barrowman, John, 1968-",5
2015,Black gay man : essays / Robert F. Reid-Pharr ; foreword by Samuel R. Delany.,"Reid-Pharr, Robert, 1965-",5
2015,Breaking the surface / Greg Louganis with Eric Marcus.,"Louganis, Greg, 1960-",5
2015,"Cassell's encyclopedia of queer myth, symbol, and spirit : gay, lesbian, bisexual, and transgender lore / Randy P. Lunčunas Conner, David Hatfield Sparks, Mariya Sparks ; foreword by Gloria E. Anzaldúa.","Conner, Randy P.",5
2015,"Extraordinary hearts : reclaiming gay sensibility's central role in the progress of civilization : the 100 collected ""Nick Benton's gay science"" essays / Nicholas F. Benton.","Benton, Nick",5
2015,"Gay & lesbian history for kids : the century-long struggle for LGBT rights, with 21 activities / Jerome Pohlen.","Pohlen, Jerome",5
2015,"Gay New York : gender, urban culture, and the makings of the gay male world, 1890-1940 / George Chauncey.","Chauncey, George",5
2015,Gay in America / [portraits by] Scott Pasfield ; introduction by Terrence McNally & Tom Kirdahy.,"Pasfield, Scott",5
2015,"Hold tight gently : Michael Callen, Essex Hemphill, and the battlefield of AIDS / Martin Duberman.","Duberman, Martin B.",5
2015,"Hoover's war on gays : exposing the FBI's ""sex deviates"" program / Douglas M. Charles.","Charles, Douglas M.,",5
2015,In and out of Hollywood : a biographer's memoir / Charles Higham.,"Higham, Charles, 1931-2012",5
2015,Inseparable : desire between women in literature / Emma Donoghue.,"Donoghue, Emma, 1969-",5
2015,Making gay okay : how rationalizing homosexual behavior is changing everything.,"Reilly, Robert R., 1946-",5
2015,May Sarton : a biography / Margot Peters.,"Peters, Margot",5
2015,Mean little deaf queer : a memoir / Terry Galloway.,"Galloway, Terry",5
2015,Mississippi sissy / Kevin Sessums.,"Sessums, Kevin",5
2015,My German question : growing up in Nazi Berlin / Peter Gay.,"Gay, Peter, 1923-2015",5
2015,New queer cinema : the director's cut / B. Ruby Rich.,"Rich, B. Ruby",5
2015,Oddly normal : one family's struggle to help their teenage son come to terms with his sexuality / John Schwartz.,"Schwartz, John, 1957-",5
2015,"Out of bounds : coming out of sexual abuse, addiction, and my life of lies in the NFL closet / Roy Simmons with Damon Dimarco in collaboration with David Fisher and Jimmy Hester.","Simmons, Roy",5
2015,"Raising my rainbow : adventures in raising a fabulous, gender creative son / Lori Duron ; [foreword by Neil Patrick Harris and David Burtka].","Duron, Lori",5
2015,Same-sex unions in premodern Europe / John Boswell.,"Boswell, John, 1947-1994.",5
2015,Shadows in the sun : healing from depression and finding the light within / Gayathri Ramprasad.,"Ramprasad, Gayathri",5
2015,"Sister spit : writing, rants & reminiscence from the road / edited by Michelle Tea.",NA,5
2015,Stonewall : the riots that sparked the gay revolution / David Carter.,"Carter, David",5
2015,Thats revolting queer strategies for resisting assimilation,NA,5
2015,The L life : extraordinary lesbians making a difference / Erin McHugh ; photographs by Jennifer May.,"McHugh, Erin, 1969-",5
2015,"The Martin Duberman reader : the essential historical, biographical, and autobiographical writings / Martin Duberman.","Duberman, Martin B.",5
2015,"The gay couple's guide to wedding planning : everything gay men need to know to create a fun, romantic, and memorable ceremony / by David Toussaint ; photographs by Melanie Wesslock and Katje Hempel.","Toussaint, David",5
2015,"The goat, or, Who is Sylvia? : (notes toward a definition of tragedy) / Edward Albee.","Albee, Edward, 1928-2016",5
2015,"The marriage act : the risk I took to keep my best friend in America, and what it taught us about love / Liza Monroy.","Monroy, Liza",5
2015,The mayor of Castro Street : the life & times of Harvey Milk / Randy Shilts.,"Shilts, Randy",5
2015,"The meaning of Matthew : my son's murder in Laramie, and a world transformed / Judy Shepard with Jon Barrett.","Shepard, Judy",5
2015,The nearest exit may be behind you / S. Bear Bergman.,"Bergman, S. Bear, 1974-",5
2015,The professor and other writings / Terry Castle.,"Castle, Terry",5
2015,The queen of Whale Cay / Kate Summerscale.,"Summerscale, Kate, 1965-",5
2015,The queer art of failure / Judith Halberstam.,"Halberstam, Judith, 1961-",5
2015,Ties that bind : familial homophobia and its consequences / Sarah Schulman.,"Schulman, Sarah, 1958-",5
2015,Travels in a gay nation : portraits of LGBTQ Americans / Philip Gambone.,"Gambone, Philip",5
2015,"Truly Wilde : the unsettling story of Dolly Wilde, Oscar's unusual niece / Joan Schenkar.","Schenkar, Joan",5
2015,"Untied : a memoir of family, fame, and floundering / Meredith Baxter.","Baxter, Meredith, 1947-",5
2015,"50 years of queer cinema : 500 of the best gay, lesbian, bisexual, transgendered, and queer questioning films ever made / Darwin Porter & Danforth Prince.","Porter, Darwin",4
2015,A legal guide for lesbian and gay couples / Frederick Hertz and Emily Doskow.,"Hertz, Frederick",4
2015,A restricted country / by Joan Nestle.,"Nestle, Joan, 1940-",4
2015,"After Woodstock : the true story of a Belgian movie, an Israeli wedding, and a Manhattan breakdown / Elliot Tiber ; foreword by Ang Lee.","Tiber, Elliot, 1935-2016,",4
2015,Bare bones meditation : waking up from the story of my life / Joan Tollifson.,"Tollifson, Joan, 1948-",4
2015,Bent : the play / by Martin Sherman.,"Sherman, Martin",4
2015,Butterfly boy : memories of a Chicano mariposa / Rigoberto González.,"González, Rigoberto",4
2015,Coming out under fire : the history of gay men and women in World War Two / Allan Bérubé.,"Bérubé, Allan",4
2015,Double life : a love story from Broadway to Hollywood / Alan Shayne & Norman Sunshine ; [foreword by Mike Nichols].,"Shayne, Alan",4
2015,"Dress codes : of three girlhoods--my mother's, my father's, and mine / Noelle Howey.","Howey, Noelle",4
2015,"Florence, a delicate case / David Leavitt.","Leavitt, David, 1961-",4
2015,"Gay directors, gay films? : Pedro Almodóvar, Terence Davies, Todd Haynes, Gus Van Sant, John Waters / Emanuel Levy.","Levy, Emanuel, 1947-",4
2015,Gaylen Hansen : three decades of paintings / Keith Wells ; with a contribution by Gary Larson.,"Wells, Keith",4
2015,"GenderQueer : voices from beyond the sexual binary / edited by Joan Nestle, Clare Howell, and Riki Wilchins.",NA,4
2015,"Harley Loco : hard living, hair, and post-punk, from the Middle East to the Lower East Side / Rayya Elias.","Elias, Rayya",4
2015,"Imagining gay paradise : Bali, Bangkok, and cyber-Singapore / Gary L. Atkins.","Atkins, Gary, 1949-",4
